City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,gherla,47.0333,23.9167,17.57,45,100,2.23,RO,1724357713
157,rawson,-43.3002,-65.1023,11.16,46,40,5.14,AR,1724357715
158,boa vista,2.8197,-60.6733,32.99,52,75,4.63,BR,1724357523
159,avarua,-21.2078,-159.775,25.03,69,75,2.06,CK,1724357717
160,leh,34.1667,77.5833,14.45,34,0,2.2,IN,1724357719
161,basco,20.4487,121.9702,29.32,74,10,2.73,PH,1724357720
162,ixtapa,20.7,-105.2,32.35,62,75,3.6,MX,1724357721
163,bandundu,-3.3167,17.3667,30.17,36,100,1.59,CD,1724357722
164,mount pleasant,32.7941,-79.8626,29.47,61,0,6.69,US,1724357636
165,agnibilekrou,7.1344,-3.2047,23.06,95,91,0.65,CI,1724357725
166,kodiak,57.79,-152.4072,14.73,58,40,7.2,US,1724357726
167,kerikeri,-35.2268,173.9474,8.84,94,79,1.16,NZ,1724357727
168,cangucu,-31.395,-52.6756,13.33,97,100,4.65,BR,1724357728
169,hammerfest,70.6634,23.6821,18.25,72,40,5.66,NO,1724357730
170,xiantao,30.3833,113.4,27.19,82,21,3.09,CN,1724357732
171,tazacorte,28.629,-17.9293,22.54,78,20,6.17,ES,1724357733
172,remire-montjoly,4.9167,-52.2667,31.02,70,20,4.12,GF,1724357735
173,cao bang,22.6667,106.25,24.25,100,100,0.73,VN,1724357736
174,isafjordur,66.0755,-23.124,3.5,90,100,10.8,IS,1724357737
175,jiangyou,31.7667,104.7167,26.74,80,26,1.86,CN,1724357739
176,borogontsy,62.6683,131.1683,11.84,95,100,1.18,RU,1724357740
177,tenno,39.9,139.9667,25.94,86,99,5.33,JP,1724357702
178,bazarnyy karabulak,52.2683,46.4144,15.66,62,13,2.16,RU,1724357742
179,lorengau,-2.0226,147.2712,25.96,89,100,4.75,PG,1724357744
180,al bawiti,28.3492,28.8659,31.53,31,0,2.49,EG,1724357745
181,brisas de zicatela,15.8369,-97.0419,31.29,89,40,5.14,MX,1724357747
182,rio grande,-32.035,-52.0986,15.48,98,100,2.57,BR,1724357748
183,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,20,0.0,RU,1724357749
184,cidreira,-30.1811,-50.2056,17.24,91,100,6.06,BR,1724357513
185,coquimbo,-29.9533,-71.3436,15.85,54,0,5.66,CL,1724357576
186,okahandja,-21.9833,16.9167,19.2,12,0,3.19,NA,1724357753
187,ust-nera,64.5667,143.2,11.54,56,91,1.71,RU,1724357754
188,cascais,38.6979,-9.4215,19.73,75,20,11.32,PT,1724357755
189,betio village,1.358,172.9211,29.02,69,90,5.72,KI,1724357756
190,naze,28.3667,129.4833,27.51,85,88,2.37,JP,1724357757
191,saldanha,-33.0117,17.9442,11.03,64,3,5.32,ZA,1724357758
192,mombetsu,44.3525,143.3525,20.95,97,100,1.74,JP,1724357759
193,anaconda,46.1285,-112.9423,26.41,21,15,2.69,US,1724357761
194,tanumah,27.1,44.1333,36.29,15,100,3.83,SA,1724357762
195,puerto baquerizo moreno,-0.9,-89.6,22.55,68,75,7.72,EC,1724357763
196,olavarria,-36.8927,-60.3225,8.32,62,94,6.07,AR,1724357653
197,viedma,-40.8135,-62.9967,10.86,46,8,3.1,AR,1724357765
198,manokwari,-0.8667,134.0833,26.21,80,100,3.26,ID,1724357766
199,saint-pierre,-21.3393,55.4781,20.82,60,40,3.6,RE,1724357767
200,tadine,-21.55,167.8833,20.28,73,0,4.22,NC,1724357769
201,bukama,-9.2,25.85,23.79,25,0,0.75,CD,1724357770
202,saint-philippe,-21.3585,55.7679,21.24,77,52,5.09,RE,1724357771
203,lazaro cardenas,17.9583,-102.2,30.03,62,100,1.26,MX,1724357773
204,kyzylorda,44.8528,65.5092,20.01,49,0,3.0,KZ,1724357774
